age,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours-per-week,target
33,14,2,9,0,1,0,0,50,0
30,5,4,11,1,1,0,0,40,0
43,16,4,9,1,0,0,0,50,1
57,11,2,9,0,1,0,0,40,0
37,10,0,2,4,0,0,0,40,0
28,10,0,6,4,0,0,0,25,0
34,13,2,10,0,1,0,0,40,1
29,10,4,5,1,1,0,0,50,0
48,16,2,9,0,1,0,1902,60,1
37,10,2,11,0,1,0,0,48,1
48,12,0,3,4,0,0,0,40,0
32,9,4,7,3,1,0,0,40,0
76,14,2,3,0,1,0,0,40,1
44,13,2,3,0,1,15024,0,60,1
47,14,4,9,1,0,0,0,50,0
20,10,4,12,3,0,0,0,40,0
29,9,4,2,1,1,0,0,40,0
32,9,2,2,0,1,7688,0,40,1
30,7,4,5,3,1,0,0,40,0
31,9,4,0,1,0,0,0,40,0
42,9,2,5,0,1,0,0,40,0
24,13,4,11,2,1,0,0,40,0
38,15,2,9,0,1,0,0,40,1
56,9,2,7,0,1,0,1887,50,1
28,10,2,11,5,0,4064,0,25,0
36,9,4,6,3,0,0,0,40,0
53,5,2,5,0,1,0,0,50,0
56,10,2,11,0,1,0,0,50,0
49,11,2,2,0,1,0,0,40,1
55,10,2,11,0,1,0,0,56,0
22,9,4,2,1,1,0,0,41,0
21,10,4,7,3,0,0,0,40,0
40,13,2,3,0,1,0,0,60,0
30,13,4,3,3,1,0,0,40,0
29,13,2,9,0,1,0,0,50,1
19,10,4,7,3,1,0,0,35,0
47,13,2,3,5,0,0,0,40,1
20,10,4,0,3,0,0,1719,28,0
31,12,2,0,0,1,0,0,40,1
39,10,0,2,1,1,0,0,40,0
28,12,4,11,1,0,0,0,60,0
24,9,4,7,1,0,0,1762,40,0
38,9,2,2,0,1,4386,0,35,0
37,13,2,11,0,1,0,0,50,0
46,12,0,12,1,0,0,0,36,0
38,14,2,9,0,1,0,0,40,1
43,9,2,2,0,1,0,0,60,0
27,11,2,0,5,0,0,0,35,0
20,10,4,11,3,1,0,0,20,0
49,10,2,2,0,1,0,0,40,1
61,9,2,2,0,1,0,0,40,0
27,10,4,11,3,0,0,0,40,0
19,10,4,7,3,1,0,0,30,0
45,11,4,9,1,0,0,1564,40,1
70,10,4,12,2,1,0,0,40,0
31,9,4,13,4,0,0,0,30,0
22,10,2,7,0,1,0,0,24,0
36,9,6,7,4,0,0,0,24,0
64,7,2,2,0,1,0,2179,40,0
47,10,0,0,4,0,0,0,38,0
34,9,4,0,1,0,0,0,40,0
33,13,4,3,2,0,0,0,40,0
21,9,4,2,3,1,0,0,35,0
48,9,2,2,0,1,0,0,46,0
23,13,4,5,1,1,0,0,40,0
71,10,5,11,4,1,0,1816,2,0
29,9,0,2,1,1,0,0,60,0
42,13,5,7,2,1,0,0,50,0
25,9,4,7,4,0,0,0,40,0
44,14,0,3,4,0,0,0,40,0
28,9,4,3,1,0,0,0,40,0
45,14,2,11,0,1,0,0,40,1
36,10,0,7,4,0,0,0,40,0
39,12,4,3,1,1,0,0,42,0
46,14,6,10,4,1,0,0,40,0
18,7,4,5,3,1,0,0,16,0
66,11,6,9,1,0,0,0,20,0
27,9,4,7,1,1,0,1980,40,0
28,9,2,10,0,1,0,0,40,0
51,10,2,11,0,1,0,1977,40,1
27,13,4,2,1,1,0,0,50,0
28,13,2,9,0,1,0,0,40,1
27,9,3,11,4,0,0,0,25,0
21,9,4,2,3,1,0,0,40,0
34,9,4,5,1,1,0,0,40,0
18,9,4,7,3,1,0,0,12,0
33,13,2,9,0,1,0,0,65,0
44,10,2,3,0,1,0,0,38,1
43,10,0,0,1,0,0,0,40,0
30,10,4,2,1,1,0,0,45,0
40,4,2,6,0,1,0,0,40,1
37,10,2,0,0,1,0,0,42,1
34,9,2,0,0,1,0,0,40,0
41,13,0,3,1,0,0,0,40,0
31,14,2,9,5,0,0,0,50,0
58,16,2,9,0,1,0,0,1,1
38,10,0,6,1,0,0,0,28,0
24,10,2,6,0,1,0,0,40,0
41,13,2,2,0,1,0,0,40,0
47,10,2,12,0,1,0,0,45,0
41,13,2,12,0,1,0,0,24,0
23,3,2,13,2,1,0,0,40,0
36,10,0,2,1,1,0,0,40,0
40,14,4,3,1,0,14084,0,55,1
35,14,2,9,2,1,7298,0,40,1
24,9,4,11,1,1,0,0,40,0
26,14,4,9,1,0,0,1876,40,0
51,13,2,3,0,1,0,0,50,1
42,10,4,9,1,0,0,1340,40,0
37,9,0,0,4,0,0,0,35,0
18,7,4,11,3,0,0,0,40,0
36,13,2,7,0,1,7298,0,36,1
35,9,0,2,1,1,0,0,60,0
58,9,2,11,5,0,15024,0,35,1
17,7,4,11,3,0,0,0,12,0
44,9,2,13,0,1,0,0,40,0
37,9,2,2,0,1,0,0,40,1
35,10,4,11,1,0,0,0,40,0
60,9,2,2,0,1,0,0,40,0
54,4,2,6,0,1,0,0,40,1
37,13,4,3,1,1,0,0,60,1
50,12,0,11,1,0,0,0,40,0
38,13,2,11,0,1,0,0,50,0
45,13,2,9,0,1,0,0,55,0
25,6,4,2,1,1,0,0,40,0
31,10,2,5,0,1,0,0,40,0
90,9,4,7,1,1,0,2206,40,0
54,9,2,0,0,1,0,0,20,0
53,1,4,6,1,0,0,0,35,0
18,9,4,11,3,0,0,0,40,0
66,9,2,4,0,1,1409,0,50,0
75,11,6,0,1,0,0,0,20,0
65,9,0,0,1,0,0,0,40,0
35,7,5,13,1,1,3674,0,40,0
41,9,0,11,4,0,0,0,38,0
25,10,4,0,1,1,0,0,42,0
33,10,0,2,2,0,0,0,40,0
28,15,4,9,1,1,0,0,55,1
59,9,2,7,0,1,0,0,40,0
40,10,4,0,1,0,0,0,38,0
41,13,2,3,0,1,0,0,50,1
38,14,2,3,0,1,0,0,70,1
23,9,4,13,3,1,0,0,40,0
40,13,2,9,0,1,0,0,40,1
41,9,2,7,5,0,0,0,20,0
24,12,2,10,0,1,0,0,50,0
38,10,0,2,1,1,0,1741,40,0
58,9,2,0,0,1,0,0,45,1
32,9,4,7,1,0,0,0,34,0
40,12,2,12,0,1,0,1977,60,1
41,15,2,9,5,0,0,0,40,1
42,13,2,0,5,0,0,0,40,0
59,6,6,7,4,0,0,0,30,0
19,10,4,0,3,1,0,0,40,0
58,10,4,13,1,1,0,0,20,0
42,9,2,4,0,1,0,0,40,1
20,9,4,7,3,0,0,0,40,0
32,9,5,7,1,0,0,0,30,0
45,11,6,3,1,0,0,0,45,0
50,4,0,2,1,1,0,0,40,0
36,13,0,9,3,0,0,0,40,0
45,9,2,11,0,1,0,0,60,0
17,7,4,7,3,1,0,0,12,0
59,10,2,11,0,1,4064,0,40,0
26,7,2,2,0,1,0,0,40,0
37,10,2,3,0,1,0,0,75,1
64,9,2,3,0,1,0,0,40,1
33,13,4,9,1,0,0,0,45,0
33,9,2,2,5,0,0,0,40,1
61,9,2,3,0,1,0,0,40,1
17,5,4,7,3,1,1055,0,24,0
50,14,2,4,0,1,2407,0,98,0
27,14,4,9,3,1,0,0,35,0
30,9,0,9,3,0,0,0,40,0
43,9,2,5,0,1,0,0,40,0
44,10,2,2,0,1,7298,0,40,1
35,10,4,3,1,0,0,0,40,0
25,10,4,12,3,0,0,0,40,0
24,10,2,6,5,0,7298,0,48,1
22,13,4,9,1,0,0,0,15,0
42,10,2,2,0,1,5178,0,40,1
34,12,0,11,4,0,0,0,45,0
60,13,0,9,1,0,0,0,42,0
21,9,4,5,3,1,0,0,40,0
57,14,2,11,0,1,15024,0,40,1
41,15,2,9,0,1,0,0,60,1
50,10,0,7,1,1,0,0,45,0
25,13,4,3,1,0,0,0,40,0
50,4,2,2,0,1,0,0,40,0
36,13,2,9,0,1,0,0,45,0
31,9,0,9,1,0,0,0,40,0
29,13,4,10,1,1,0,0,56,0
21,10,4,11,3,1,0,0,45,0
27,13,4,12,4,0,0,0,40,0
65,9,2,13,0,1,0,0,16,0
37,13,0,11,1,0,0,0,60,0
24,9,4,2,3,1,0,0,40,0
38,9,0,11,1,1,0,0,80,0
48,13,2,0,0,1,7688,0,40,1
21,10,4,7,1,0,0,0,25,0
31,9,2,13,0,1,0,0,45,1
55,9,2,11,0,1,4386,0,40,1
24,10,2,0,5,0,0,0,40,0
43,9,0,0,1,0,0,0,40,0
26,12,4,12,1,1,0,0,45,0
46,12,4,9,1,0,0,0,33,0
35,12,2,0,0,1,0,0,40,1
41,10,2,4,0,1,0,0,54,1
26,13,4,11,1,1,0,0,40,0
34,14,2,3,0,1,7298,0,35,1
36,13,0,9,1,0,0,0,40,1
22,10,4,11,3,1,0,0,15,0
24,10,4,6,1,1,0,0,40,0
77,10,2,11,0,1,0,0,40,0
22,3,2,6,2,0,0,0,40,0
29,10,4,12,1,0,0,0,40,0
62,9,6,7,1,0,0,0,24,0
39,9,2,3,0,1,0,0,40,0
43,10,2,2,0,1,0,1485,50,0
35,9,0,13,1,1,0,0,45,0
29,7,4,3,1,0,0,0,40,0
76,14,2,2,0,1,0,0,10,0
63,9,2,4,0,1,0,0,45,0
43,10,2,9,5,0,0,1887,50,1
58,9,2,5,0,1,0,0,40,0
66,9,4,13,1,1,2050,0,55,0
41,10,4,2,1,1,0,0,45,0
26,13,4,0,1,1,0,0,40,0
47,11,4,7,1,1,0,0,40,0
55,6,2,0,0,1,0,0,40,0
53,9,2,13,0,1,0,0,40,0
17,3,4,7,2,1,0,0,48,0
30,9,4,2,2,1,0,0,40,0
49,14,4,9,1,1,0,0,60,0
19,9,4,11,4,1,0,0,30,0
45,9,2,7,0,1,0,0,40,0
26,12,4,11,1,1,0,0,40,0
38,11,2,2,0,1,7298,0,40,1
36,9,2,10,0,1,7298,0,40,1
33,9,4,4,1,1,0,0,20,0
22,10,4,10,3,0,0,0,40,0
43,13,4,11,1,1,0,0,42,0
56,12,3,7,1,1,0,0,25,0
31,13,4,9,3,1,0,0,25,0
33,13,2,3,0,1,0,0,40,1
26,9,2,7,0,1,0,0,40,0
33,13,2,3,0,1,0,0,40,1
46,7,2,13,0,1,0,0,30,0
38,9,2,0,0,1,0,0,40,1
65,7,6,7,4,1,0,0,40,0
40,11,2,12,0,1,0,0,40,1
42,9,2,0,5,0,0,0,35,0
26,5,2,2,0,1,0,0,40,0
36,6,2,7,5,0,0,0,24,0
62,14,2,9,0,1,0,0,40,1
43,13,2,13,0,1,0,0,45,0
43,13,0,3,1,1,0,1564,45,1
22,9,3,11,1,1,0,0,55,0
28,9,2,2,0,1,0,0,40,0
56,10,2,11,0,1,0,0,45,0
22,12,4,11,1,0,0,0,15,0
57,13,0,3,1,0,0,0,45,1
39,9,0,11,4,0,0,0,40,0
26,10,4,0,4,0,0,0,15,0
17,7,4,7,3,1,0,0,10,0
40,11,2,6,0,1,0,0,38,1
45,9,2,6,0,1,0,0,40,0
44,9,4,2,1,1,0,0,40,0
20,10,4,0,3,0,0,0,10,0
33,9,2,2,5,0,0,0,40,0
23,10,4,11,1,1,0,0,40,0
46,14,0,3,1,1,0,0,30,0
38,9,2,11,0,1,0,0,50,0
54,9,0,13,1,1,0,0,40,0
46,3,0,2,1,0,0,2339,45,0
25,10,2,2,0,1,0,0,40,0
46,10,0,11,1,0,0,0,40,0
36,10,2,13,5,0,0,0,40,0
23,9,4,7,1,0,0,0,25,0
29,9,5,6,1,1,0,0,40,0
44,10,2,0,5,0,0,2415,6,1
19,10,4,0,3,0,0,0,16,0
19,9,4,7,2,0,0,0,40,0
35,9,2,7,5,0,0,0,40,1
27,13,4,2,1,1,0,0,50,0
46,12,5,2,1,1,0,0,40,0
34,9,4,7,1,0,0,0,35,0
44,10,2,12,0,1,0,0,40,0
45,10,0,5,4,0,0,0,40,0
25,13,2,3,0,1,0,0,55,1
52,13,2,3,0,1,0,0,50,1
20,10,4,5,3,1,0,0,40,0
28,10,4,7,1,0,0,0,40,0
50,13,2,10,0,1,0,0,40,1
34,11,0,12,1,0,0,0,64,0
28,4,2,5,0,1,0,2179,40,0
41,14,2,3,0,1,0,1977,65,1
28,9,2,0,0,1,0,0,40,0
46,9,2,2,0,1,0,0,25,0
32,10,2,3,0,1,0,0,50,0
41,10,0,7,1,0,0,0,24,0
24,9,4,5,4,0,0,0,40,0
33,10,0,3,4,0,0,0,40,0
46,16,2,3,0,1,15024,0,60,1
31,10,2,6,0,1,0,0,40,0
35,8,0,2,1,1,0,0,50,1
52,2,2,6,0,1,0,0,40,0
30,7,4,7,3,0,0,0,19,0
34,7,5,6,1,1,0,0,40,0
34,9,0,13,4,0,0,0,40,0
20,10,2,11,0,1,0,0,30,0
17,7,4,5,3,1,2176,0,18,0
32,13,2,3,5,0,0,0,40,1
29,9,0,4,1,1,0,0,40,0
33,6,4,2,4,0,0,0,35,0
25,9,2,13,0,1,0,0,60,0
36,14,4,9,1,1,0,1408,40,0
23,9,4,5,1,1,0,0,72,0
63,9,2,3,0,1,0,0,40,1
47,14,2,9,0,1,0,0,40,0
40,13,3,9,1,0,2174,0,40,0
30,12,2,7,5,0,0,0,25,1
27,10,4,2,3,1,0,1980,40,0
33,14,2,9,0,1,0,0,50,1
34,9,4,4,1,1,594,0,60,0
34,10,4,10,1,0,0,0,40,0
23,10,2,0,0,1,0,0,40,0
42,10,2,0,5,0,0,0,40,0
29,13,4,9,1,1,0,0,40,0
45,9,0,0,1,0,0,0,28,0
24,9,4,1,3,1,0,0,40,0
44,10,2,9,0,1,0,0,40,1
27,5,4,2,2,1,0,0,40,0
20,10,4,11,1,1,0,0,35,0
44,9,6,3,4,0,0,0,40,0
51,9,2,2,0,1,0,0,40,0
20,9,2,6,0,1,0,0,40,0
19,9,4,6,3,0,0,0,40,0
45,10,2,2,0,1,0,0,55,1
60,9,2,2,0,1,0,0,40,1
44,9,2,11,5,0,0,0,40,1
40,11,2,6,0,1,0,0,40,1
30,9,2,3,5,0,0,0,40,0
38,10,2,13,0,1,0,0,50,0
23,9,2,13,0,1,0,0,60,0
44,12,4,4,3,1,0,0,40,0
54,9,2,13,0,1,0,0,40,0
32,13,2,9,0,1,0,0,50,0
50,2,3,2,4,1,0,0,40,0
24,13,4,12,1,0,0,0,20,0
37,9,2,0,5,0,0,0,60,0
52,9,0,13,4,1,0,0,40,0
38,10,2,13,0,1,0,0,40,0
49,14,2,3,0,1,0,1977,45,1
30,13,2,12,5,0,0,0,16,1
60,10,4,9,4,1,0,0,40,1
35,9,4,2,1,1,0,0,40,0
30,9,4,13,1,1,0,0,60,0
67,11,0,7,1,0,0,0,24,0
46,13,4,2,1,0,0,0,40,0
17,5,4,7,1,1,0,0,6,0
22,10,4,5,3,1,0,0,30,0
27,6,4,7,1,1,0,0,40,0
23,9,4,7,4,0,0,0,35,0
33,12,2,2,0,1,0,0,45,0
43,10,2,2,0,1,0,0,20,0
28,13,4,9,1,1,0,0,20,0
41,9,3,2,4,0,0,0,40,0
25,10,3,0,3,0,0,0,20,0
59,9,2,13,0,1,0,0,45,0
45,13,0,9,4,0,0,0,40,0
38,13,2,11,0,1,15024,0,60,1
40,9,4,7,1,0,0,0,35,0
46,9,0,0,1,1,0,0,40,0
35,12,4,3,1,0,0,0,60,0
34,9,0,9,4,0,0,0,25,0
33,13,4,2,3,1,0,0,20,0
41,9,0,0,4,0,0,0,36,0
20,10,4,6,3,1,0,0,40,0
23,3,4,7,3,1,0,0,40,0
26,10,4,9,1,0,0,0,35,0
23,9,4,4,1,1,0,0,40,0
62,9,2,13,0,1,0,0,40,0
52,10,2,0,0,1,0,0,40,0
58,10,0,7,4,0,0,0,42,0
25,13,4,11,1,0,0,0,40,0
24,13,4,3,1,1,0,0,40,0
19,10,4,10,3,1,0,0,8,0
43,10,2,3,0,1,0,0,40,0
47,9,5,0,4,0,0,0,40,0
39,9,0,7,4,0,0,0,40,0
49,11,3,5,4,1,0,1380,42,0
32,11,4,2,1,1,0,0,45,0
34,10,2,9,0,1,0,0,50,1
28,9,0,2,1,1,0,0,45,0
25,10,4,0,1,0,0,0,20,0
34,13,2,9,0,1,0,0,50,1
38,13,2,3,0,1,15024,0,80,1
50,9,2,3,0,1,7688,0,50,1
24,10,0,5,1,1,0,0,50,0
37,10,2,12,0,1,0,0,45,1
44,10,0,6,4,1,0,0,58,1
28,10,2,11,5,0,0,0,40,0
42,13,2,3,0,1,0,0,40,1
74,10,0,0,1,0,0,0,9,0
38,9,2,2,0,1,0,0,50,0
44,14,2,9,0,1,0,0,40,0
44,7,0,6,4,0,0,0,46,0
26,9,4,6,1,1,0,0,40,0
36,9,2,7,0,1,0,0,40,0
41,12,2,3,5,0,0,0,50,1
67,15,2,9,0,1,20051,0,48,1
39,8,2,12,0,1,0,0,50,0
57,2,6,8,1,0,0,0,30,0
29,11,5,2,1,1,0,0,40,0
31,13,4,4,1,0,0,0,45,0
44,10,2,13,0,1,0,0,40,0
29,16,4,9,3,1,0,0,40,0
30,10,4,5,4,0,0,0,40,0
27,9,4,13,1,1,0,0,40,0
27,10,2,11,0,1,0,0,50,0
32,9,4,5,1,0,0,0,45,0
58,6,2,7,5,0,0,0,8,0
35,10,2,10,0,1,0,0,40,0
21,9,4,5,3,1,0,0,36,0
28,10,4,2,4,1,0,0,40,0
46,10,0,3,1,1,0,0,50,0
36,9,5,7,4,0,0,0,40,0
72,7,6,0,4,0,0,0,40,0
35,9,2,6,5,0,0,0,40,0
33,11,0,2,4,0,0,0,40,1
69,7,4,6,1,0,0,0,40,0
35,9,2,6,0,1,0,0,40,0
34,9,2,12,5,0,0,0,32,0
30,7,2,7,0,1,0,0,40,0
28,13,4,13,1,1,0,0,55,0
54,13,2,11,0,1,0,0,35,1
47,10,2,9,0,1,0,0,50,1
24,9,4,5,4,0,0,0,40,0
52,13,2,9,0,1,0,0,60,1
20,9,4,5,3,1,0,0,48,0
43,14,2,3,0,1,5013,0,45,0
45,4,5,7,4,0,0,0,40,0
29,9,5,2,1,1,0,0,35,0
47,14,0,3,4,1,0,0,42,0
24,9,4,2,3,1,0,0,40,0
51,9,2,9,0,1,0,0,40,0
17,7,4,11,3,1,0,0,12,0
37,11,2,2,0,1,0,1977,40,1
27,16,4,9,1,0,0,0,70,0
29,13,2,3,5,1,0,0,40,1
36,12,0,11,4,0,0,0,35,0
58,13,4,9,1,0,0,0,40,0
26,10,2,2,0,1,0,0,45,0
57,9,2,11,0,1,0,0,40,1
59,9,2,2,0,1,0,0,40,0
27,9,2,6,0,1,0,0,40,0
31,13,4,12,1,1,0,0,40,0
21,10,4,11,3,0,0,0,24,0
29,10,4,0,1,1,0,0,60,0
18,7,4,7,3,1,0,0,40,0
52,6,2,2,0,1,0,1887,47,1
57,13,0,9,1,1,0,0,80,0
60,4,4,13,1,1,0,0,48,1
31,13,2,9,0,1,7688,0,40,1
23,13,4,0,3,0,0,0,40,0
27,9,4,11,3,1,0,0,40,0
42,15,2,9,0,1,0,1902,50,1
25,10,4,12,1,1,2174,0,40,0
49,13,4,9,1,0,0,0,45,0
32,13,4,12,1,1,0,0,40,0
19,10,4,0,3,1,0,0,28,0
60,4,0,7,1,0,0,0,40,0
42,5,2,7,0,1,0,0,40,0
35,12,4,4,1,1,0,0,40,0
48,9,4,0,4,0,0,0,37,0
51,14,2,2,0,1,0,0,40,1
29,9,4,2,1,1,0,0,40,0
36,9,5,3,1,1,0,0,40,0
17,6,4,7,3,0,0,0,21,0
52,14,0,9,1,0,6849,0,60,0
24,9,4,2,1,1,0,0,40,0
24,9,2,5,0,1,0,0,50,0
26,13,4,9,3,1,1055,0,40,0
27,13,4,7,3,0,0,0,20,0
39,9,4,5,3,1,0,0,60,0
30,9,2,13,0,1,0,0,45,0
50,9,2,3,0,1,0,0,32,0
52,13,2,11,0,1,0,0,55,0
46,15,2,9,0,1,15024,0,45,1
23,13,4,11,3,0,0,0,20,0
45,7,6,7,1,0,0,0,20,0
65,5,6,8,4,0,0,0,24,0
29,11,2,13,0,1,0,0,55,0
47,5,3,5,4,1,0,0,40,0
30,9,4,4,3,1,0,0,60,0
34,9,2,11,0,1,0,0,45,1
38,9,2,11,0,1,0,0,64,0
33,10,2,3,0,1,0,0,40,1
49,13,2,11,0,1,0,0,26,1
47,10,4,7,4,0,0,0,40,0
49,6,5,7,4,0,0,0,40,0
43,10,2,2,0,1,15024,0,60,1
30,13,2,0,5,0,0,0,40,1
58,9,2,2,0,1,0,0,60,0
19,9,4,7,3,0,0,0,14,0
21,13,4,5,1,1,0,0,40,0
33,13,2,3,0,1,15024,0,60,1
47,3,2,13,0,1,0,0,50,0
52,16,2,9,0,1,0,0,60,1
26,9,0,2,1,1,0,0,55,0
60,9,2,2,0,1,0,0,40,0
21,10,4,5,3,1,0,0,40,0
36,10,2,11,0,1,5178,0,50,1
31,10,2,2,0,1,0,0,45,0
50,16,5,9,1,1,0,0,40,1
31,9,0,0,4,0,0,0,40,0
71,9,2,2,0,1,0,0,15,0
30,13,2,12,0,1,0,0,40,1
20,10,4,7,3,1,0,0,20,0
24,9,4,3,2,1,4101,0,50,0
35,16,2,9,0,1,0,0,40,1
38,10,5,3,1,0,0,0,45,0
27,9,4,6,3,0,0,0,32,0
29,10,4,0,4,0,0,0,40,0
34,9,2,2,0,1,0,0,45,0
44,4,2,2,0,1,0,0,35,0
43,9,2,6,0,1,0,0,40,1
44,8,2,5,0,1,0,0,40,1
35,14,4,11,1,1,0,0,60,0
27,10,4,9,1,1,0,0,40,0
43,14,4,9,1,1,0,0,38,0
20,10,4,11,1,0,0,0,25,0
42,12,0,9,4,0,8614,0,40,1
27,10,2,13,0,1,3411,0,40,0
42,9,2,2,0,1,0,0,40,1
24,5,4,6,1,1,0,1721,40,0
48,10,0,3,1,1,0,0,40,0
17,7,4,4,3,1,0,0,10,0
33,13,2,3,0,1,0,0,40,1
50,9,2,11,0,1,0,0,50,1
22,9,4,11,3,0,2597,0,40,0
17,8,4,7,3,1,0,0,16,0
32,10,2,0,0,1,0,0,40,0
31,9,4,2,1,1,0,0,45,0
58,9,6,3,1,1,0,0,50,0
29,9,4,10,3,1,0,0,48,0
37,11,2,2,0,1,0,0,40,1
34,9,2,2,0,1,0,0,40,1
23,10,5,3,4,1,0,0,40,0
18,7,4,0,3,0,0,0,5,0
34,9,0,3,1,0,0,0,40,0
45,13,2,9,5,0,0,0,55,0
41,14,4,3,1,1,0,0,35,0
26,9,4,7,2,1,0,0,30,0
54,10,2,4,0,1,0,0,40,0
24,10,4,6,3,0,0,0,45,0
42,10,2,9,0,1,0,0,50,0
20,10,4,9,3,1,0,0,20,0
23,13,4,12,1,0,0,0,20,0
35,14,4,9,1,1,0,0,60,1
31,14,2,12,0,1,0,1902,40,1
30,13,4,9,3,0,0,0,40,0
19,9,4,11,3,0,0,0,20,0
36,13,4,9,1,1,0,0,50,0
31,13,6,11,4,0,0,1380,40,0
21,10,4,5,3,1,0,0,30,0
31,10,2,2,0,1,0,0,40,0
46,16,0,9,4,0,25236,0,65,1
44,13,0,3,3,0,0,0,50,1
40,8,2,7,0,1,0,0,40,0
45,10,4,11,1,1,0,0,40,0
60,9,2,2,0,1,0,0,35,0
18,7,4,7,2,1,0,0,25,0
28,13,2,9,0,1,0,0,40,0
36,10,0,0,4,0,0,0,40,0
40,11,2,12,0,1,4386,0,40,0
36,13,0,0,4,0,0,0,35,0
31,9,5,7,4,0,0,0,40,0
33,9,2,6,0,1,0,0,40,0
19,9,4,12,3,0,0,0,40,0
22,10,4,11,3,0,0,0,15,0
34,13,2,3,0,1,0,0,45,1
33,9,4,7,1,1,0,0,40,0
41,9,2,2,0,1,0,2051,60,0
29,13,4,9,1,1,4650,0,40,0
50,9,2,3,0,1,0,0,42,1
42,13,2,3,0,1,7298,0,45,1
44,9,2,11,5,0,0,0,40,0
20,10,4,7,1,0,0,0,20,0
31,9,2,7,0,1,0,0,40,0
23,10,4,7,1,0,0,0,24,0
55,10,0,0,1,0,0,0,40,0
26,11,2,0,0,1,0,2377,45,0
25,11,4,7,3,0,0,0,15,0
35,10,2,2,0,1,2407,0,40,0
36,10,4,11,1,0,0,0,36,0
43,13,2,9,0,1,0,0,50,0
56,9,6,7,4,0,594,0,20,0
42,13,2,12,0,1,0,0,40,1
19,10,4,7,2,0,0,0,25,0
55,9,2,13,0,1,0,0,72,0
42,14,4,3,1,0,14084,0,50,1
26,11,4,12,3,1,0,0,40,0
17,8,4,5,3,1,0,0,20,0
42,13,2,9,5,0,0,0,40,1
55,9,2,13,0,1,7688,0,40,1
32,10,4,0,3,0,0,0,40,0
29,7,4,2,3,1,0,0,40,0
46,13,2,9,0,1,0,0,37,0
29,13,2,3,0,1,7688,0,40,1
